ÐòºÅ,Ê¡ÇøÊÐ,ÊŸ·¶Çø,ÅúŽÎ
1,±±Ÿ©ÊÐ,³¯ÑôÇø,Ê×Åú
2,ºÓ±±Ê¡,ÇØ»ÊµºÊÐ,Ê×Åú
3,ÉœÎ÷Ê¡,³€ÖÎÊÐ,Ê×Åú
4,ÄÚÃÉ¹Å×ÔÖÎÇø,¶õ¶û¶àË¹ÊÐ,Ê×Åú
5,ÁÉÄþÊ¡,ŽóÁ¬ÊÐ,Ê×Åú
6,ŒªÁÖÊ¡,³€ŽºÊÐ,Ê×Åú
7,ºÚÁúœ­Ê¡,Äµµ€œ­ÊÐ,Ê×Åú
8,ÉÏº£ÊÐ,Ðì»ãÇø,Ê×Åú
9,œ­ËÕÊ¡,ËÕÖÝÊÐ,Ê×Åú
10,Õãœ­Ê¡,Äþ²šÊÐÛŽÖÝÇø,Ê×Åú
11,°²»ÕÊ¡,Âí°°ÉœÊÐ,Ê×Åú
12,ž£œšÊ¡,ÏÃÃÅÊÐ,Ê×Åú
13,œ­Î÷Ê¡,žÓÖÝÊÐ,Ê×Åú
14,Éœ¶«Ê¡,ÇàµºÊÐ,Ê×Åú
15,ºþ±±Ê¡,»ÆÊ¯ÊÐ,Ê×Åú
16,ºþÄÏÊ¡,³€É³ÊÐ,Ê×Åú
17,¹ã¶«Ê¡,¶«ÝžÊÐ,Ê×Åú
18,¹ãÎ÷×³×å×ÔÖÎÇø,ÀŽ±öÊÐ,Ê×Åú
19,º£ÄÏÊ¡,³ÎÂõÏØ,Ê×Åú
20,ÖØÇìÊÐ,ÓåÖÐÇø,Ê×Åú
21,ËÄŽšÊ¡,³É¶ŒÊÐ,Ê×Åú
22,¹óÖÝÊ¡,×ñÒåÊÐ,Ê×Åú
23,ÔÆÄÏÊ¡,±£ÉœÊÐ,Ê×Åú
24,Î÷²Ø×ÔÖÎÇø,ÁÖÖ¥µØÇø,Ê×Åú
25,ÉÂÎ÷Ê¡,±ŠŒŠÊÐ,Ê×Åú
26,žÊËàÊ¡,œð²ýÊÐ,Ê×Åú
27,Çàº£Ê¡,žñ¶ûÄŸÊÐ,Ê×Åú
28,ÐÂœ®Î¬Îá¶û×ÔÖÎÇø,¿ŠÊ²µØÇø,Ê×Åú
29,±±Ÿ©ÊÐ,¶«³ÇÇø,µÚ¶þÅú
30,ÌìœòÊÐ,ºÓÎ÷Çø,µÚ¶þÅú
31,ºÓ±±Ê¡,ÀÈ·»ÊÐ,µÚ¶þÅú
32,ÉœÎ÷Ê¡,Ë·ÖÝÊÐ,µÚ¶þÅú
33,ÁÉÄþÊ¡,ÉòÑôÊÐÉòºÓÇø,µÚ¶þÅú
34,ÄÚÃÉ¹Å×ÔÖÎÇø,°üÍ·ÊÐ,µÚ¶þÅú
35,ŒªÁÖÊ¡,ÑÓ±ß³¯ÏÊ×å×ÔÖÎÖÝ,µÚ¶þÅú
36,ºÚÁúœ­Ê¡,¹þ¶û±õÊÐÄÏžÚÇø,µÚ¶þÅú
37,ÉÏº£ÊÐ,ÆÖ¶«ÐÂÇø,µÚ¶þÅú
38,œ­ËÕÊ¡,ÎÞÎýÊÐ,µÚ¶þÅú
39,Õãœ­Ê¡,ŒÎÐËÊÐ,µÚ¶þÅú
40,°²»ÕÊ¡,°²ÇìÊÐ,µÚ¶þÅú
41,ž£œšÊ¡,ÈýÃ÷ÊÐ,µÚ¶þÅú
42,œ­Î÷Ê¡,ÐÂÓàÊÐ,µÚ¶þÅú
43,Éœ¶«Ê¡,ÑÌÌšÊÐ,µÚ¶þÅú
44,ºÓÄÏÊ¡,ÂåÑôÊÐ,µÚ¶þÅú
45,ºþ±±Ê¡,ÏåÑôÊÐ,µÚ¶þÅú
46,ºþÄÏÊ¡,ÔÀÑôÊÐ,µÚ¶þÅú
47,¹ã¶«Ê¡,ÉîÛÚÊÐž£ÌïÇø,µÚ¶þÅú
48,º£ÄÏÊ¡,±£Í€Àè×åÃç×å×ÔÖÎÏØ,µÚ¶þÅú
49,¹ãÎ÷×ÔÖÎÇø,ÓñÁÖÊÐ,µÚ¶þÅú
50,ÖØÇìÊÐ,±±íÕÇø,µÚ¶þÅú
51,ËÄŽšÊ¡,ÄÏ³äÊÐ,µÚ¶þÅú
52,¹óÖÝÊ¡,¹óÑôÊÐ,µÚ¶þÅú
53,ÔÆÄÏÊ¡,³þÐÛÒÍ×å×ÔÖÎÖÝ,µÚ¶þÅú
54,Î÷²Ø×ÔÖÎÇø,ÉœÄÏµØÇø,µÚ¶þÅú
55,ÉÂÎ÷Ê¡,ÎŒÄÏÊÐ,µÚ¶þÅú
56,žÊËàÊ¡,ÕÅÒŽÊÐ,µÚ¶þÅú
57,ÄþÏÄ×ÔÖÎÇø,Ê¯×ìÉœÊÐ,µÚ¶þÅú
58,Çàº£Ê¡,Î÷ÄþÊÐ,µÚ¶þÅú
59,ÐÂœ®×ÔÖÎÇø,¿ËÀ­ÂêÒÀÊÐ,µÚ¶þÅú
60,ÐÂœ®Éú²úœšÉè±øÍÅ,Å©°ËÊŠÊ¯ºÓ×ÓÊÐ,µÚ¶þÅú
61,±±Ÿ©ÊÐ,º£µíÇø,µÚÈýÅú
62,ÌìœòÊÐ,±±³œÇø,µÚÈýÅú
63,ºÓ±±Ê¡,²×ÖÝÊÐ,µÚÈýÅú
64,ÉœÎ÷Ê¡,œúÖÐÊÐ,µÚÈýÅú
65,ÄÚÃÉ¹Å×ÔÖÎÇø,ºôºÍºÆÌØÊÐ,µÚÈýÅú
66,ÁÉÄþÊ¡,ÅÌœõÊÐ,µÚÈýÅú
67,ŒªÁÖÊ¡,ŒªÁÖÊÐ,µÚÈýÅú
68,ºÚÁúœ­Ê¡,¹þ¶û±õÊÐµÀÀïÇø,µÚÈýÅú
69,ÉÏº£ÊÐ,ŒÎ¶šÇø,µÚÈýÅú
