单位名称,组织机构代码,层级,地区,电话,详细地址,等级情况,GPS坐标
安徽省文化馆,485005239,省级,省本级,0551 62631282,合肥市长江路,无等级馆,"117.288463,31.867939"
怀宁县文化馆,485682336,县级,安庆市,0556 4637139,怀宁县稼先路81号文化大楼五楼,一级馆,"116.834014,30.738433"
宿松县文化馆,734943673,县级,安庆市,0556 7821496,宿松县宿松商城10号楼,二级馆,"116.12818,30.159325"
潜山市文化馆,485705905,县级,安庆市,0556 8921643,潜山市舒台路68号文化馆一楼,无等级馆,"116.12818,30.159325"
大观区文化馆,TJ2630540,县级,安庆市,0556 5508771,安庆市纺织南路67号,无等级馆,"117.054095,30.522865"
安庆市文化馆,485617104,市级,安庆市,0556 5511110,安庆市皖江公园文化中心南楼,无等级馆,"117.065436,30.528453"
太湖县文化馆,748948280,县级,安庆市,0556 4188857,太湖县新城龙山路30号,无等级馆,"116.313899,30.457332"
宜秀区文化馆,754869570,县级,安庆市,0556 5518029,安庆市青少年宫东路9号,无等级馆,"117.067961,30.513495"
桐城市文化馆,485673210,县级,安庆市,0556 6121429,和平路23号,二级馆,"116.957762,31.053796"
望江县文化馆,485740129,县级,安庆市,0556 7183901,望江县华阳镇回龙路146号,无等级馆,"116.695639,30.128598"
迎江区文化馆,485638028,县级,安庆市,0556 5866446,安庆市华中路469号迎江区人民政府,无等级馆,"116.695639,30.128598"
岳西县文化馆,723305393,县级,安庆市,0556 2188707,岳西县天堂镇前进南路5号,无等级馆,"116.366859,30.853124"
枞阳县文化馆,485693385,县级,安庆市,0556 2811345,枞阳县枞阳镇正大街,无等级馆,"117.217984,30.699928"
义安区文化馆,485605955,县级,铜陵市,0562 8814854,五松镇文化广场西侧楼,二级馆,"117.824019,30.938419"
铜官区文化馆,F11399562,县级,铜陵市,0562 6861047,铜陵市铜官区乌木山社区木鱼山大道666号,二级馆,"117.797091,30.957833"
郊区文化馆,TJ3407017,县级,铜陵市,0562 2896608,铜都大道南段8699号,二级馆,"117.773726,30.826189"
铜陵市文化馆,485551379,市级,铜陵市,0562 2861660,安徽省铜陵市义安南路19号,一级馆,"117.862677,30.970564"
铜都文化馆,TJ3407279,市级,铜陵市,0562 2861660,铜陵市翠湖五路,无等级馆,未知
蚌埠市文化馆,485220684,市级,蚌埠市,0552 2069269,环湖西路2号,无等级馆,"117.411086,32.936666"
龙子湖区文化馆,485223287,县级,蚌埠市,0552 3050686,沿淮河路888号,无等级馆,未知
蚌山区文化馆,903000036,县级,蚌埠市,0552 2041812,蚌埠市东海大道3858号,无等级馆,"117.360574,32.946034"
禹会区文化馆,TJ0000027,县级,蚌埠市,0552 4900099,蚌埠市禹会区政府4楼,二级馆,"117.340165,32.929491"
淮上区文化馆,485221265,县级,蚌埠市,0552 2829535,淮上区怀五路,无等级馆,"117.340165,32.929491"
怀远县文化馆,TJ1000029,县级,蚌埠市,0552 8011374,怀远县文昌街51号,三级馆,"117.206191,32.964812"
五河县文化馆,485297489,县级,蚌埠市,0552 5032115,五河县城关镇中兴路中段,三级馆,"117.897474,33.148188"
固镇县文化馆,485308993,县级,蚌埠市,0552 6012280,浍河路195号,三级馆,未知
谯城区文化馆,TJ0000297,县级,亳州市,0558 5553576,谯城区和平东路171号,二级馆,"115.788557,33.871226"
